"volume","TP_Test","TP_Train","FN_Test","FN_Train","TN","FP","sensitivity_Train","sensitivity_Test","specificity","precision_Train","precision_Test","accuracy_Train","accuracy_Test","TSS_Train","TSS_Test","TSS_Sum"
1.9626279081496,246,988,4,10,5224,18339,0.98997995991984,0.984,0.22170351822773,0.98997995991984,0.984,0.252921297992753,0.229706462856423,0.21168347814757,0.20570351822773,0.417386996375299
0.562738095707401,243,966,7,32,9098,14465,0.967935871743487,0.972,0.386113822518355,0.967935871743487,0.972,0.409755303122837,0.392264729349515,0.354049694261842,0.358113822518355,0.712163516780197
0.0186739021252657,148,573,102,425,19699,3864,0.574148296593186,0.592,0.836014089886687,0.574148296593186,0.592,0.825373559708481,0.83345231596187,0.410162386479873,0.428014089886687,0.83817647636656
0.00283689308820806,32,152,218,846,22855,708,0.152304609218437,0.128,0.969952892246318,0.152304609218437,0.128,0.936728960547209,0.961113677403099,0.122257501464755,0.0979528922463184,0.220210393711074
0.692903962808016,249,988,1,10,6462,17101,0.98997995991984,0.996,0.274243517378942,0.98997995991984,0.996,0.303326411791051,0.281820854155293,0.264223477298781,0.270243517378941,0.534466994677723
0.287020386319678,238,956,12,42,8609,14954,0.957915831663327,0.952,0.365360947247804,0.957915831663327,0.952,0.389438540776027,0.371519758115315,0.32327677891113,0.317360947247804,0.640637726158934
0.0143319774327503,148,577,102,421,20014,3549,0.57815631262525,0.592,0.849382506472011,0.57815631262525,0.592,0.838361630226782,0.846680384663839,0.427538819097262,0.441382506472011,0.868921325569273
0.00214493601798951,37,162,213,836,22859,704,0.162324649298597,0.148,0.970122649917243,0.162324649298597,0.148,0.937298969911649,0.961491622223155,0.13244729921584,0.118122649917243,0.250569949133084
0.0439992445762036,227,939,23,59,12066,11497,0.940881763527054,0.908,0.512074014344523,0.940881763527054,0.908,0.529497984609747,0.516230630327972,0.452955777871577,0.420074014344523,0.8730297922161
0.0426294911711343,230,942,20,56,13363,10200,0.943887775551102,0.92,0.567117939141875,0.943887775551102,0.92,0.58242742559342,0.570822659891656,0.511005714692977,0.487117939141875,0.998123653834852
0.00145680466016871,145,577,105,421,22063,1500,0.57815631262525,0.58,0.936340873403217,0.57815631262525,0.58,0.921786572207972,0.932599840423298,0.514497186028467,0.516340873403217,1.03083805943168
