"nu","gamma","volume","TP_Test","TP_Train","FN_Test","FN_Train","TN","FP","sensitivity_Train","sensitivity_Test","specificity","precision_Train","precision_Test","accuracy_Train","accuracy_Test","TSS_Train","TSS_Test","TSS_Sum"
0.005,0.25,0.0813391276342767,328,1326,6,9,60869,9127,0.993258426966292,0.982035928143713,0.869606834676267,0.993258426966292,0.982035928143713,0.871921044146304,0.870140764965164,0.862865261642559,0.85164276281998,1.71450802446254
0.01,0.25,0.0704474515158738,248,1038,86,297,61184,8812,0.77752808988764,0.74251497005988,0.874107091833819,0.77752808988764,0.74251497005988,0.8722995612006,0.873482155552396,0.651635181721459,0.616622061893699,1.26825724361516
0.015,0.25,0.0647377894923614,303,1233,31,102,61339,8657,0.923595505617978,0.907185628742515,0.876321504085948,0.923595505617978,0.907185628742515,0.877206263756291,0.876468079055879,0.799917009703925,0.783507132828463,1.58342414253239
0.005,0.5,0.0326474472374238,298,1216,36,119,62394,7602,0.910861423220974,0.892215568862275,0.891393793931082,0.910861423220974,0.892215568862275,0.891758141621455,0.891397696573297,0.802255217152056,0.783609362793357,1.58586457994541
0.01,0.5,0.0294079676623568,273,1119,61,216,62756,7240,0.838202247191011,0.817365269461078,0.896565518029602,0.838202247191011,0.817365269461078,0.895473216413621,0.896189392862221,0.734767765220613,0.71393078749068,1.44869855271129
0.015,0.5,0.0315471029047045,273,1119,61,216,62571,7425,0.838202247191011,0.817365269461078,0.893922509857706,0.838202247191011,0.817365269461078,0.892879673634184,0.893558936442485,0.732124757048717,0.711287779318784,1.4434125363675
0.005,0.75,0.0192708788676869,278,1100,56,235,63779,6217,0.823970037453184,0.832335329341317,0.911180638893651,0.823970037453184,0.832335329341317,0.909548443173375,0.910806199345941,0.735150676346835,0.743515968234969,1.4786666445818
0.01,0.75,0.0194720446732766,294,1182,40,153,63940,6056,0.885393258426966,0.880239520958084,0.913480770329733,0.885393258426966,0.880239520958084,0.91295509666204,0.913322906298877,0.798874028756699,0.793720291287817,1.59259432004452
0.015,0.75,0.0185207074177327,275,1119,59,216,63822,6174,0.838202247191011,0.823353293413174,0.911794959711984,0.838202247191011,0.823353293413174,0.91041763048324,0.911374946679937,0.749997206902995,0.735148253125157,1.48514546002815
